Reconstructed seasonal NAO index 1500-1658.


Reference:
=======

Luterbacher, J., Xoplaki, E., Dietrich, D., Jones, P.D., Davies, T.D.,
Portis, D., Gonzalez-Rouco, J.F., von Storch, H., Gyalistras, D., Casty,
C., and Wanner, H., 2002. Extending North Atlantic Oscillation
Reconstructions Back to 1500. Atmos. Sci. Lett., 2, 114-124 
(doi:10.1006/asle.2001.0044).


Contact Juerg Luterbacher (juerg@giub.unibe.ch) for further information,
for other reconstructed atmospheric circulation indices and for reprints.


Reconstructed seasonal NAO index back to 1500-1658 
========================================================= 

Year Sea NAO
1521 su -0.05 
1521 au -0.10 
1522 wi -0.16 
1522 sp -0.02 
1522 su  0.02 
1522 au -0.46 
1523 wi  0.31 
1523 sp  0.39 
1523 su -0.20 
1523 au -0.57 
1524 wi  0.27 
1524 sp -0.17 
1524 su  0.05 
1524 au -0.18 
1525 wi -0.26 
1525 sp -0.47 
1525 su  0.15 
1525 au  0.16 
1526 wi -0.19 
1526 sp  0.34 
1526 su  0.18 
1526 au -0.11 
1527 wi  0.13 
1527 sp -0.35 
1527 su  0.08 
1527 au -0.38 
1528 wi  0.58 
1528 sp  0.06 
1528 su  0.06 
1528 au  0.22 
1529 wi  0.44 
1529 sp  0.04 
1529 su  0.58 
1529 au -0.43 
1530 wi  0.83 
1530 sp -0.04 
1530 su  0.24 
1530 au -0.06 
1531 wi  0.23 
1531 sp -0.44 
1531 su  0.04 
1531 au -0.27 
1532 wi -0.04 
1532 sp  0.12 
1532 su -0.08 
1532 au -0.22 
1533 wi -0.31 
1533 sp  0.02 
1533 su  0.08 
1533 au -0.09 
1534 wi -1.12 
1534 sp  0.39 
1534 su -0.14 
1534 au -0.01 
1535 wi  0.13 
1535 sp -0.20 
1535 su  0.23 
1535 au  0.02 
1536 wi  0.05 
1536 sp  0.25 
1536 su -0.13 
1536 au  0.59 
1537 wi -0.23 
1537 sp -0.39 
1537 su -0.01 
1537 au  0.37 
1538 wi  0.67 
1538 sp -0.25 
1538 su  0.15 
1538 au  0.06 
1539 wi  0.22 
1539 sp  0.05 
1539 su  0.24 
1539 au -0.71 
1540 wi  0.14 
1540 sp  0.38 
1540 su -0.35 
1540 au  1.06 
1541 wi  0.10 
1541 sp  0.09 
1541 su -0.11 
1541 au -0.60 
1542 wi  0.57 
1542 sp -0.38 
1542 su  0.02 
1542 au  0.07 
1543 wi -0.59 
1543 sp -0.40 
1543 su  0.11 
1543 au -0.02 
1544 wi -1.26 
1544 sp -0.48 
1544 su -0.43 
1544 au -0.42 
1545 wi -0.54 
1545 sp -0.19 
1545 su -0.18 
1545 au -0.28 
1546 wi -0.75 
1546 sp -0.30 
1546 su  0.14 
1546 au -0.24 
1547 wi  0.11 
1547 sp -0.12 
1547 su -0.09 
1547 au -0.12 
1548 wi -0.39 
1548 sp  0.00 
1548 su  0.06 
1548 au  0.35 
1549 wi -1.03 
1549 sp  0.55 
1549 su  0.07 
1549 au -0.11 
1550 wi -0.11 
1550 sp -0.27 
1550 su  0.11 
1550 au -0.35 
1551 wi -0.33 
1551 sp -0.14 
1551 su  0.08 
1551 au -0.44 
1552 wi  0.38 
1552 sp  0.05 
1552 su  0.23 
1552 au -0.05 
1553 wi  0.59 
1553 sp -0.31 
1553 su -0.01 
1553 au  0.37 
1554 wi -1.72 
1554 sp -0.01 
1554 su -0.68 
1554 au -0.33 
1555 wi -0.04 
1555 sp -0.16 
1555 su  0.07 
1555 au -0.41 
1556 wi  0.18 
1556 sp  0.14 
1556 su -0.18 
1556 au -0.13 
1557 wi -0.98 
1557 sp -0.19 
1557 su -0.15 
1557 au  0.77 
1558 wi  0.06 
1558 sp  0.14 
1558 su -0.08 
1558 au  0.33 
1559 wi -1.06 
1559 sp  0.05 
1559 su -0.22 
1559 au -0.17 
1560 wi  0.16 
1560 sp -0.21 
1560 su  0.06 
1560 au -0.33 
1561 wi -1.91 
1561 sp -0.18 
1561 su -0.01 
1561 au  0.00 
1562 wi -0.37 
1562 sp  0.13 
1562 su  0.12 
1562 au  0.23 
1563 wi -0.57 
1563 sp -0.57 
1563 su  0.02 
1563 au -1.14 
1564 wi -0.10 
1564 sp  0.00 
1564 su  0.05 
1564 au -0.51 
1565 wi -1.14 
1565 sp -0.73 
1565 su  0.01 
1565 au -0.75 
1566 wi  0.87 
1566 sp -0.19 
1566 su  0.11 
1566 au -0.28 
1567 wi  0.07 
1567 sp -0.27 
1567 su -0.25 
1567 au -0.89 
1568 wi  0.25 
1568 sp -0.33 
1568 su  0.25 
1568 au -0.56 
1569 wi -1.38 
1569 sp -0.46 
1569 su -0.06 
1569 au -0.87 
1570 wi  0.08 
1570 sp -0.12 
1570 su  0.16 
1570 au -0.18 
1571 wi -0.66 
1571 sp  0.07 
1571 su -0.02 
1571 au  0.12 
1572 wi -0.31 
1572 sp -0.14 
1572 su  0.12 
1572 au -0.32 
1573 wi -2.36 
1573 sp -0.48 
1573 su  0.04 
1573 au  0.02 
1574 wi -0.26 
1574 sp -0.06 
1574 su  0.13 
1574 au  0.86 
1575 wi  0.03 
1575 sp -0.33 
1575 su  0.00 
1575 au -0.27 
1576 wi  0.02 
1576 sp -0.12 
1576 su  0.41 
1576 au -0.97 
1577 wi  0.27 
1577 sp -0.21 
1577 su  0.13 
1577 au -0.12 
1578 wi -0.09 
1578 sp -0.32 
1578 su -0.01 
1578 au  0.26 
1579 wi -0.01 
1579 sp -0.03 
1579 su  0.27 
1579 au -0.62 
1580 wi  0.04 
1580 sp -0.31 
1580 su  0.26 
1580 au  0.15 
1581 wi -0.25 
1581 sp  0.11 
1581 su  0.17 
1581 au -0.02 
1582 wi -0.18 
1582 sp -0.23 
1582 su  0.13 
1582 au -0.39 
1583 wi -0.01 
1583 sp  0.19 
1583 su  0.05 
1583 au  0.36 
1584 wi  0.10 
1584 sp -0.05 
1584 su  0.21 
1584 au -0.30 
1585 wi  0.75 
1585 sp  0.58 
1585 su  0.24 
1585 au -0.11 
1586 wi -1.36 
1586 sp -0.17 
1586 su  0.10 
1586 au -0.17 
1587 wi -1.30 
1587 sp -0.86 
1587 su -0.27 
1587 au -0.26 
1588 wi  0.63 
1588 sp -0.39 
1588 su  0.19 
1588 au -0.62 
1589 wi -0.32 
1589 sp  0.05 
1589 su  0.29 
1589 au  0.70 
1590 wi -0.99 
1590 sp -0.55 
1590 su -0.14 
1590 au  0.73 
1591 wi -1.16 
1591 sp  0.25 
1591 su  0.13 
1591 au  0.08 
1592 wi -0.12 
1592 sp -0.44 
1592 su -0.74 
1592 au -0.48 
1593 wi -1.47 
1593 sp -0.39 
1593 su -0.17 
1593 au -0.50 
1594 wi  0.50 
1594 sp  0.21 
1594 su  0.31 
1594 au -0.68 
1595 wi -1.17 
1595 sp -0.62 
1595 su -0.21 
1595 au -0.31 
1596 wi -0.64 
1596 sp  0.51 
1596 su  0.35 
1596 au -0.01 
1597 wi -0.39 
1597 sp -0.89 
1597 su -0.03 
1597 au -1.81 
1598 wi -0.63 
1598 sp -0.38 
1598 su -0.13 
1598 au -0.96 
1599 wi -0.83 
1599 sp  0.16 
1599 su  0.18 
1599 au -0.24 
1600 wi -1.31 
1600 sp -0.56 
1600 su  0.09 
1600 au -0.68 
1601 wi -1.03 
1601 sp -0.52 
1601 su  0.04 
1601 au -1.01 
1602 wi  0.14 
1602 sp -0.01 
1602 su  0.04 
1602 au -0.17 
1603 wi -0.31 
1603 sp -0.26 
1603 su -0.17 
1603 au  0.24 
1604 wi -0.52 
1604 sp -0.20 
1604 su -0.33 
1604 au -0.37 
1605 wi  0.55 
1605 sp  0.01 
1605 su  0.02 
1605 au -0.06 
1606 wi -0.88 
1606 sp -0.03 
1606 su  0.16 
1606 au -0.46 
1607 wi  1.10 
1607 sp -0.01 
1607 su  0.00 
1607 au  0.12 
1608 wi -2.78 
1608 sp -0.51 
1608 su  0.11 
1608 au -0.28 
1609 wi  1.50 
1609 sp  0.14 
1609 su  0.12 
1609 au -0.35 
1610 wi -0.06 
1610 sp -0.31 
1610 su  0.12 
1610 au  0.07 
1611 wi  0.01 
1611 sp  0.06 
1611 su -0.36 
1611 au -0.74 
1612 wi -0.57 
1612 sp -0.19 
1612 su -0.18 
1612 au -0.04 
1613 wi  0.88 
1613 sp -0.02 
1613 su  0.27 
1613 au -0.44 
1614 wi -0.62 
1614 sp -0.47 
1614 su  0.13 
1614 au -0.94 
1615 wi -0.24 
1615 sp -0.61 
1615 su -0.51 
1615 au  0.24 
1616 wi -0.88 
1616 sp  0.20 
1616 su -0.46 
1616 au -0.35 
1617 wi  1.33 
1617 sp  0.43 
1617 su  0.17 
1617 au -0.29 
1618 wi -0.97 
1618 sp -0.38 
1618 su  0.34 
1618 au  0.23 
1619 wi  0.30 
1619 sp -0.30 
1619 su  0.02 
1619 au -0.75 
1620 wi -0.33 
1620 sp -0.09 
1620 su  0.05 
1620 au  0.06 
1621 wi -0.89 
1621 sp  0.03 
1621 su  0.25 
1621 au -0.23 
1622 wi -0.70 
1622 sp -0.14 
1622 su  0.19 
1622 au -0.19 
1623 wi -0.96 
1623 sp -0.31 
1623 su -0.19 
1623 au -0.27 
1624 wi -1.89 
1624 sp  0.18 
1624 su -0.17 
1624 au  0.20 
1625 wi  0.11 
1625 sp -0.13 
1625 su -0.01 
1625 au -0.64 
1626 wi -0.40 
1626 sp -0.43 
1626 su  0.15 
1626 au  0.11 
1627 wi -0.80 
1627 sp -0.76 
1627 su  0.32 
1627 au -0.29 
1628 wi  0.21 
1628 sp -0.03 
1628 su  0.26 
1628 au -0.57 
1629 wi  0.29 
1629 sp -0.67 
1629 su -0.53 
1629 au -0.39 
1630 wi  0.32 
1630 sp -0.30 
1630 su -0.31 
1630 au -0.37 
1631 wi -0.21 
1631 sp -0.13 
1631 su -0.19 
1631 au -0.04 
1632 wi  0.02 
1632 sp -0.37 
1632 su  0.10 
1632 au -1.08 
1633 wi  0.52 
1633 sp -0.31 
1633 su -0.34 
1633 au -0.45 
1634 wi -0.08 
1634 sp -0.12 
1634 su -0.11 
1634 au -0.69 
1635 wi -1.47 
1635 sp -0.46 
1635 su -0.12 
1635 au -0.41 
1636 wi -0.32 
1636 sp  0.29 
1636 su  0.00 
1636 au -0.48 
1637 wi -0.56 
1637 sp  0.07 
1637 su  0.05 
1637 au -0.60 
1638 wi -0.07 
1638 sp  0.29 
1638 su  0.07 
1638 au -0.41 
1639 wi -0.17 
1639 sp -0.15 
1639 su  0.30 
1639 au  0.36 
1640 wi -0.81 
1640 sp -0.59 
1640 su  0.26 
1640 au -0.76 
1641 wi -0.98 
1641 sp -0.09 
1641 su  0.10 
1641 au -0.98 
1642 wi -0.58 
1642 sp -0.94 
1642 su -0.09 
1642 au -0.38 
1643 wi -0.41 
1643 sp -0.91 
1643 su  0.01 
1643 au -0.68 
1644 wi -0.68 
1644 sp -0.19 
1644 su  0.04 
1644 au -0.02 
1645 wi -0.27 
1645 sp  0.15 
1645 su -0.08 
1645 au -0.39 
1646 wi -1.60 
1646 sp  0.11 
1646 su -0.24 
1646 au -0.24 
1647 wi -0.40 
1647 sp  0.13 
1647 su  0.26 
1647 au  0.51 
1648 wi  0.17 
1648 sp  0.18 
1648 su  0.32 
1648 au -0.24 
1649 wi -0.70 
1649 sp -0.41 
1649 su -0.05 
1649 au -0.86 
1650 wi  0.29 
1650 sp -0.22 
1650 su  0.19 
1650 au  0.02 
1651 wi -0.37 
1651 sp -0.20 
1651 su  0.02 
1651 au -0.08 
1652 wi -0.17 
1652 sp -0.58 
1652 su -0.06 
1652 au  0.07 
1653 wi -0.01 
1653 sp -0.05 
1653 su -0.19 
1653 au -0.23 
1654 wi  0.47 
1654 sp -0.16 
1654 su  0.19 
1654 au -0.40 
1655 wi -0.62 
1655 sp -0.44 
1655 su  0.12 
1655 au -0.08 
1656 wi -0.34 
1656 sp -0.04 
1656 su -0.22 
1656 au -0.51 
1657 wi  0.06 
1657 sp -0.12 
1657 su  0.03 
1657 au -0.20 
1658 wi -1.41 
1658 sp -0.61 
1658 su  0.16 
1658 au -0.01 
